          PartNumber       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            36733364              69        29.72        35.59         2050.68         2455.71
            81252880              16        14.36        18.04          229.76          288.64
            46182485              57        11.19        15.73          637.83          896.61
            77086674              85        18.06        23.88         1535.10         2029.80
            71852096              57        26.92        30.71         1534.44         1750.47
            41555059              44        27.38        32.97         1204.72         1450.68
            88550476              20        21.62        24.86          432.40          497.20
            56044625              77        26.84        30.00         2066.68         2310.00
            36386359              60        12.09        17.21          725.40         1032.60
            81946005              22        19.90        24.29          437.80          534.38
            84179853              47        12.93        18.61          607.71          874.67
            34549045               7        13.67        16.67           95.69          116.69
            15963630               5        29.36        32.93          146.80          164.65
            29691501              57        22.78        28.28         1298.46         1611.96
            29257517              83        10.76        13.93          893.08         1156.19
            69730813              84        12.39        17.64         1040.76         1481.76
            85598406              64        10.32        14.12          660.48          903.68
            62111634               1        16.41        19.97           16.41           19.97
            13174473              91        29.75        35.68         2707.25         3246.88
            53717044              66        16.04        20.59         1058.64         1358.94
            59142280              97        20.84        25.19         2021.48         2443.43
            34751590              46        12.60        16.52          579.60          759.92
            53904146              33        29.37        35.22          969.21         1162.26
            70178351               1        19.18        24.56           19.18           24.56
            58782510              80        21.90        25.49         1752.00         2039.20
            71733835              17        22.36        25.67          380.12          436.39
            21094940              53        12.59        17.31          667.27          917.43
            83582158              67        22.44        26.30         1503.48         1762.10
            38561693              47        18.00        22.00          846.00         1034.00
            32728517              82        15.43        19.58         1265.26         1605.56
            17327188              41        23.79        28.18          975.39         1155.38
            66125098              44        22.44        28.41          987.36         1250.04
            75541722              78        22.80        25.97         1778.40         2025.66
            69855441              96        15.56        18.77         1493.76         1801.92
            57667879              22        16.21        22.04          356.62          484.88
            40160899              46        10.83        14.53          498.18          668.38
            75529079              28        29.27        33.08          819.56          926.24
            66028170              21        17.59        23.57          369.39          494.97
            57301383              68        15.52        21.46         1055.36         1459.28
            81106814               9        12.55        17.38          112.95          156.42
            35071419              50        18.92        22.88          946.00         1144.00
            22877827               6        16.46        21.19           98.76          127.14
            55000517              95        11.84        15.36         1124.80         1459.20
            69865581              94        21.26        26.45         1998.44         2486.30
            17103483              86        24.10        27.36         2072.60         2352.96
            62963680              36        17.16        22.50          617.76          810.00
            34763532              86        15.68        21.17         1348.48         1820.62
            45136408               2        12.71        15.71           25.42           31.42
            82011078              13        18.39        23.28          239.07          302.64
            74877073              90        19.64        22.65         1767.60         2038.50
            21291543              84        21.88        27.76         1837.92         2331.84
            74375297              31        12.28        18.21          380.68          564.51
            21098319              27        16.73        20.84          451.71          562.68
            60683021               2        18.36        23.75           36.72           47.50
            63689991              40        26.49        31.87         1059.60         1274.80
            20766559              15        17.28        21.88          259.20          328.20
            79065482              77        15.63        21.13         1203.51         1627.01
            52700852              67        28.70        31.79         1922.90         2129.93
            80581530              95        11.64        15.99         1105.80         1519.05
            13045439              80        20.24        24.00         1619.20         1920.00
            56411306              64        10.97        16.64          702.08         1064.96
            31396612              63        15.52        21.11          977.76         1329.93
            72216160               2        10.67        14.72           21.34           29.44
            80955309               3        16.51        20.07           49.53           60.21
            35303316              84        10.96        14.03          920.64         1178.52
            64463514               1        15.90        19.22           15.90           19.22
            47216256              83        24.21        30.02         2009.43         2491.66
            40176566              78        23.29        29.24         1816.62         2280.72
            23026496              35        20.95        24.90          733.25          871.50
            55371335              27        18.18        23.50          490.86          634.50
            29884085              52        26.47        30.46         1376.44         1583.92
            64382696              86        15.98        20.57         1374.28         1769.02
            23180207              23        21.63        25.79          497.49          593.17
            38280325              17        12.94        16.01          219.98          272.17
            57630177              38        26.52        29.81         1007.76         1132.78
            86232263              80        11.06        14.93          884.80         1194.40
            35537534              60        27.18        32.16         1630.80         1929.60
            74627727              31        23.93        28.06          741.83          869.86
            73638310              31        14.74        19.35          456.94          599.85
            38932471              34        12.93        17.33          439.62          589.22
            22307784              99        14.22        19.97         1407.78         1977.03
            15183855              18        24.59        29.80          442.62          536.40
            62839762              93        14.75        20.19         1371.75         1877.67
            72591229              27        15.58        20.41          420.66          551.07
            32945551              21        21.25        26.10          446.25          548.10
            28062267              47        14.68        18.06          689.96          848.82
            75630018              41        10.08        15.68          413.28          642.88
            77430412              70        29.20        34.45         2044.00         2411.50
            58445058               2        21.96        27.41           43.92           54.82
            66314342              42        21.79        27.58          915.18         1158.36
            35262107               8        14.46        19.91          115.68          159.28
            39341800              25        24.32        29.58          608.00          739.50
            11587650              37        10.76        14.92          398.12          552.04
            86414890              27        10.02        14.42          270.54          389.34
            31187804              66        20.23        25.46         1335.18         1680.36
            80084832              35        23.91        28.79          836.85         1007.65
            49263193              93        29.39        34.89         2733.27         3244.77
            60289116               3        14.50        18.91           43.50           56.73
            34092153               3        23.76        29.20           71.28           87.60
            13201627              70        18.12        24.09         1268.40         1686.30
            43051474              81        20.39        25.20         1651.59         2041.20
            48509677               4        25.20        29.71          100.80          118.84
            86578282              36        29.59        33.51         1065.24         1206.36
            55842246              48        15.98        21.43          767.04         1028.64
            47553915              25        19.60        25.24          490.00          631.00
            22442765              20        14.24        18.39          284.80          367.80
            39458442              23        20.49        26.06          471.27          599.38
            81912584              99        26.86        31.94         2659.14         3162.06
            22231544              65        23.11        28.16         1502.15         1830.40
            80858072              98        13.32        16.89         1305.36         1655.22
            57739204               1        23.02        27.52           23.02           27.52
            66992188              85        29.40        33.97         2499.00         2887.45
            35631998              79        25.89        29.56         2045.31         2335.24
            83234292              26        23.80        29.24          618.80          760.24
            81982758              56        10.68        14.84          598.08          831.04
            41555059              44        27.38        32.97         1204.72         1450.68
            58485457               5        23.64        28.18          118.20          140.90
            32913509              42        11.94        16.43          501.48          690.06
            81138617              46        15.15        19.76          696.90          908.96
            80101956              97        23.40        28.25         2269.80         2740.25
            71529535              21        27.36        31.04          574.56          651.84
            56953445              35        21.16        25.85          740.60          904.75
            25725760              15        26.82        32.17          402.30          482.55
            60360685              42        28.86        33.14         1212.12         1391.88
            14698138              39        15.68        21.08          611.52          822.12
            78039357              82        16.45        22.40         1348.90         1836.80
            79170842              16        29.59        34.75          473.44          556.00
            34389249              83        17.68        22.58         1467.44         1874.14
            39421903              19        10.45        16.29          198.55          309.51
            43771833              50        18.24        21.52          912.00         1076.00
            68324629               6        24.98        30.61          149.88          183.66
            75268158              29        13.03        18.84          377.87          546.36
            76147512              40        24.26        27.40          970.40         1096.00
            71529535              21        27.36        31.04          574.56          651.84
            28166727               8        17.58        23.34          140.64          186.72
            41610696               9        14.03        17.30          126.27          155.70
            26383509              27        22.91        27.15          618.57          733.05
            57739204               1        23.02        27.52           23.02           27.52
            79170842              16        29.59        34.75          473.44          556.00
            34171236              19        24.01        29.29          456.19          556.51
            32913509              42        11.94        16.43          501.48          690.06
            24467721               3        15.72        21.71           47.16           65.13
            35631998              79        25.89        29.56         2045.31         2335.24
            73831091              86        25.67        30.20         2207.62         2597.20
            60360685              42        28.86        33.14         1212.12         1391.88
            53972005              43        22.81        28.51          980.83         1225.93
            56953445              35        21.16        25.85          740.60          904.75
            32216703              97        23.12        28.83         2242.64         2796.51
            43771833              50        18.24        21.52          912.00         1076.00
            83762728              45        22.25        25.31         1001.25         1138.95
            24955147             100        15.08        20.76         1508.00         2076.00
            35342162              75        29.91        34.65         2243.25         2598.75
            38944334              93        13.73        18.51         1276.89         1721.43
            67317709              16        10.27        15.03          164.32          240.48
            34389249              83        17.68        22.58         1467.44         1874.14
            75724437              74        23.26        26.87         1721.24         1988.38
            81138617              46        15.15        19.76          696.90          908.96
            36511952              85        13.32        17.87         1132.20         1518.95
            43548519              44        13.50        16.95          594.00          745.80
            74497902              82        20.00        23.21         1640.00         1903.22
            76147512              40        24.26        27.40          970.40         1096.00
            41818150              51        13.22        18.99          674.22          968.49
            14698138              39        15.68        21.08          611.52          822.12
            66028170              21        17.59        23.57          369.39          494.97
            83391843              30        20.31        23.67          609.30          710.10
            49493175              39        14.55        19.03          567.45          742.17
            68324629               6        24.98        30.61          149.88          183.66
            52614745              37        22.62        28.25          836.94         1045.25
            84623811               2        15.66        20.90           31.32           41.80
            33686751              46        20.10        23.74          924.60         1092.04
            63706075              21        15.39        21.26          323.19          446.46
            41610696               9        14.03        17.30          126.27          155.70
            55396347              65        12.49        18.04          811.85         1172.60
            56664402              75        12.40        15.93          930.00         1194.75
            88491828              34        29.57        34.24         1005.38         1164.16
            60384491              55        28.17        32.53         1549.35         1789.15
            77435552              39        12.08        17.33          471.12          675.87
            50295179              88        23.09        28.10         2031.92         2472.80
            85699860              21        20.28        23.37          425.88          490.77
            36020570              22        15.27        19.78          335.94          435.16
            77086674              85        18.06        23.88         1535.10         2029.80
            46132369              64        28.23        32.34         1806.72         2069.76
            58759637              78        15.20        18.21         1185.60         1420.38
            50040763              32        14.71        20.02          470.72          640.64
            83234292              26        23.80        29.24          618.80          760.24
            25372090              93        17.27        22.99         1606.11         2138.07
            88304184              84        18.55        23.14         1558.20         1943.76
            12880478              18        24.61        30.20          442.98          543.60
            36473623              16        15.21        19.89          243.36          318.24
            52968876              99        11.77        17.62         1165.23         1744.38
            76076746              64        15.72        19.29         1006.08         1234.56
            44544249               3        26.55        30.19           79.65           90.57
            54979164              83        21.06        25.15         1747.98         2087.45
            42884653              91        15.56        19.32         1415.96         1758.12
            67167784               7        20.82        24.08          145.74          168.56
            18977685              81        16.39        20.36         1327.59         1649.16
            43891580              46        11.44        16.13          526.24          741.98
            69358897              32        23.73        28.73          759.36          919.36
            68262175              92        19.83        24.50         1824.36         2254.00
            28458648              97        19.67        22.73         1907.99         2204.81
            24388225              28        17.90        22.64          501.20          633.92
            53717044              66        16.04        20.59         1058.64         1358.94
            51080942              56        23.57        29.09         1319.92         1629.04
            79195238              21        11.38        15.86          238.98          333.06
            29022294              63        14.43        18.23          909.09         1148.49
            23132529              24        24.77        28.34          594.48          680.16
            32728517              82        15.43        19.58         1265.26         1605.56
            85598406              64        10.32        14.12          660.48          903.68
            37761798              48        13.31        17.97          638.88          862.56
            40160899              46        10.83        14.53          498.18          668.38
            47533952              96        11.85        15.79         1137.60         1515.84
            70178351               1        19.18        24.56           19.18           24.56
            38561693              47        18.00        22.00          846.00         1034.00
            35304393              38        29.75        33.66         1130.50         1279.08
            26782989              32        17.16        20.93          549.12          669.76
            54036898              68        10.71        13.78          728.28          937.04
            75541722              78        22.80        25.97         1778.40         2025.66
            66910032              10        12.87        17.11          128.70          171.10
            71733835              17        22.36        25.67          380.12          436.39
            68740451               3        10.94        16.14           32.82           48.42
            72660734              37        22.74        27.19          841.38         1006.03
            15276046              96        15.72        19.42         1509.12         1864.32
            63689991              40        26.49        31.87         1059.60         1274.80
            56827836              55        15.74        20.17          865.70         1109.35
            17327188              41        23.79        28.18          975.39         1155.38
            37055841              87        19.81        24.45         1723.47         2127.15
            52700852              67        28.70        31.79         1922.90         2129.93
            69855441              96        15.56        18.77         1493.76         1801.92
            49265048              58        13.50        18.90          783.00         1096.20
            22877827               6        16.46        21.19           98.76          127.14
            49996948              32        21.50        26.64          688.00          852.48
            31396612              63        15.52        21.11          977.76         1329.93
            43849621              22        20.16        23.82          443.52          524.04
            20766559              15        17.28        21.88          259.20          328.20
            31641263              48        20.95        26.17         1005.60         1256.16
            64463514               1        15.90        19.22           15.90           19.22
            13045439              80        20.24        24.00         1619.20         1920.00
            28232368              63        19.07        23.98         1201.41         1510.74
            73556705              24        21.20        25.96          508.80          623.04
            82258988              50        17.04        20.76          852.00         1038.00
            52715440              86        16.72        20.05         1437.92         1724.30
            14375908              58        15.24        19.87          883.92         1152.46
            64853503              41        12.51        16.82          512.91          689.62
            31081490               1        20.71        24.06           20.71           24.06
            65014865              54        28.95        34.28         1563.30         1851.12
            87209284              91        27.20        31.42         2475.20         2859.22
            55371335              27        18.18        23.50          490.86          634.50
            26923610              35        21.70        25.06          759.50          877.10
            80955309               3        16.51        20.07           49.53           60.21
            88189478              86        15.24        19.55         1310.64         1681.30
            38280325              17        12.94        16.01          219.98          272.17
            40176566              78        23.29        29.24         1816.62         2280.72
            31050885              78        18.33        21.95         1429.74         1712.10
            18398033              13        29.16        32.22          379.08          418.86
            88563106              11        11.74        16.01          129.14          176.11
            74627727              31        23.93        28.06          741.83          869.86
            38917581              77        26.47        31.07         2038.19         2392.39
            64382696              86        15.98        20.57         1374.28         1769.02
            49559225              94        21.63        27.14         2033.22         2551.16
            83740526              23        19.56        22.59          449.88          519.57
            72247784              90        11.52        17.26         1036.80         1553.40
            19103941              66        25.55        28.79         1686.30         1900.14
            43984612              76        25.76        31.51         1957.76         2394.76
            16768461              35        10.07        15.28          352.45          534.80
            80101873              62        28.13        32.28         1744.06         2001.36
            88301639              13        23.37        27.32          303.81          355.16
            22662424               1        11.84        15.28           11.84           15.28
            49045379              25        14.14        19.04          353.50          476.00
            21098319              27        16.73        20.84          451.71          562.68
            86232263              80        11.06        14.93          884.80         1194.40
            53016903              16        11.19        15.79          179.04          252.64
            81106814               9        12.55        17.38          112.95          156.42
            18870895              77        22.80        26.50         1755.60         2040.50
            44137228              61        23.26        27.46         1418.86         1675.06
            72874936               5        18.34        22.96           91.70          114.80
            86767861              93        16.94        22.43         1575.42         2085.99
            15555649              71        18.67        22.08         1325.57         1567.68
            58045576              64        10.51        16.20          672.64         1036.80
            17461679              54        10.76        16.74          581.04          903.96
            50134836               8        27.71        31.48          221.68          251.84
            69384947              99        12.41        16.75         1228.59         1658.25
            19784361               6        18.19        21.20          109.14          127.20
            53741016              54        23.69        27.10         1279.26         1463.40
            72216160               2        10.67        14.72           21.34           29.44
            56044625              77        26.84        30.00         2066.68         2310.00
            36760711              52        18.94        23.46          984.88         1219.92
            60123854              80        22.90        26.34         1832.00         2107.20
            27176633              51        12.76        16.22          650.76          827.22
            39941194              44        19.12        23.33          841.28         1026.52
            40095023              62        18.63        24.31         1155.06         1507.22
            38932471              34        12.93        17.33          439.62          589.22
            80203561               4        28.03        32.89          112.12          131.56
            78907535              46        22.91        27.32         1053.86         1256.72
            18982295              44        21.43        25.71          942.92         1131.24
            71387635              81        14.74        17.92         1193.94         1451.52
            22142782              41        17.65        21.80          723.65          893.80
            47216256              83        24.21        30.02         2009.43         2491.66
            80581530              95        11.64        15.99         1105.80         1519.05
            28062267              47        14.68        18.06          689.96          848.82
            35303316              84        10.96        14.03          920.64         1178.52
            11458375             100        18.51        21.68         1851.00         2168.00
            77643941              27        13.18        16.62          355.86          448.74
            71540862              46        25.58        30.30         1176.68         1393.80
            42978025              89        27.65        33.36         2460.85         2969.04
            14578137              41        16.99        21.27          696.59          872.07
            53518629              69        11.66        17.49          804.54         1206.81
            79334055              46        26.54        30.77         1220.84         1415.42
            21552284              30        10.40        15.18          312.00          455.40
            15495526              36        16.20        20.47          583.20          736.92
            74435780              64        24.09        29.58         1541.76         1893.12
            31353041              28        21.82        27.67          610.96          774.76
            36990628              49        28.67        33.09         1404.83         1621.41
            39898842               8        20.69        25.42          165.52          203.36
            55842246              48        15.98        21.43          767.04         1028.64
            66698657              48        16.13        21.83          774.24         1047.84
            27270146              81        23.52        27.65         1905.12         2239.65
            88046718              25        22.56        27.49          564.00          687.25
            73657743              49        19.68        23.46          964.32         1149.54
            17692750              97        18.54        23.26         1798.38         2256.22
            12949685               6        26.89        30.96          161.34          185.76
            46621097              48        26.37        29.84         1265.76         1432.32
            85525597              18        17.05        22.42          306.90          403.56
            62028894              95        28.44        33.25         2701.80         3158.75
            43941327              31        12.59        16.54          390.29          512.74
            80101956              97        23.40        28.25         2269.80         2740.25
            18059483              19        13.66        17.57          259.54          333.83
            58339617              68        13.73        18.72          933.64         1272.96
            40749682              96        14.45        19.50         1387.20         1872.00
            64349453              14        18.46        23.84          258.44          333.76
            62283911               7        15.50        21.11          108.50          147.77
            87951178              60        18.19        23.37         1091.40         1402.20
            32895121              61        28.99        32.57         1768.39         1986.77
            83480974              83        23.94        29.53         1987.02         2450.99
            62159876              47        12.63        17.34          593.61          814.98
            56030075              46        18.62        22.81          856.52         1049.26
            59734200              12        25.75        31.22          309.00          374.64
            57301383              68        15.52        21.46         1055.36         1459.28
            43210345              76        11.33        14.55          861.08         1105.80
            59333352              73        25.88        29.43         1889.24         2148.39
            84777768              66        11.40        14.53          752.40          958.98
            58609625               1        23.58        27.78           23.58           27.78
            34850784              89        12.43        15.68         1106.27         1395.52
            49013255              89        18.32        24.27         1630.48         2160.03
            83361455              50        10.14        16.07          507.00          803.50
            65853384              51        18.67        22.56          952.17         1150.56
            57978117              10        28.15        33.61          281.50          336.10
            69865581              94        21.26        26.45         1998.44         2486.30
            45136408               2        12.71        15.71           25.42           31.42
            41555059              44        27.38        32.97         1204.72         1450.68
            19121129              99        11.37        14.84         1125.63         1469.16
            50310242              84        10.30        13.80          865.20         1159.20
            30174319              22        29.51        33.43          649.22          735.46
            41677726              77        14.76        18.57         1136.52         1429.89
            61965647              88        24.88        29.03         2189.44         2554.64
            36733364              69        29.72        35.59         2050.68         2455.71
            29134137              49        13.61        18.81          666.89          921.69
            81912584              99        26.86        31.94         2659.14         3162.06
            58038988              62        13.42        17.69          832.04         1096.78
            37413158              28        28.57        33.34          799.96          933.52
            18422552             100        22.06        27.26         2206.00         2726.00
            44735928               9        27.18        31.76          244.62          285.84
            42145649              30        19.23        24.90          576.90          747.00
            71852096              57        26.92        30.71         1534.44         1750.47
            83980353              56        20.50        25.99         1148.00         1455.44
            88550476              20        21.62        24.86          432.40          497.20
            62481686              38        27.38        31.15         1040.44         1183.70
            50536431              89        26.48        29.98         2356.72         2668.22
            63758855              39        11.25        14.70          438.75          573.30
            60410146              21        26.93        32.34          565.53          679.14
            52555493              21        20.65        25.19          433.65          528.99
            77086936              79        19.91        25.81         1572.89         2038.99
            80767659              23        26.89        31.88          618.47          733.24
            58485457               5        23.64        28.18          118.20          140.90
            65237455              56        12.63        17.39          707.28          973.84
            77086674              85        18.06        23.88         1535.10         2029.80
            58759637              78        15.20        18.21         1185.60         1420.38
            34549045               7        13.67        16.67           95.69          116.69
            53717044              66        16.04        20.59         1058.64         1358.94
            79195238              21        11.38        15.86          238.98          333.06
            32728517              82        15.43        19.58         1265.26         1605.56
            85598406              64        10.32        14.12          660.48          903.68
            40160899              46        10.83        14.53          498.18          668.38
            70178351               1        19.18        24.56           19.18           24.56
            56827836              55        15.74        20.17          865.70         1109.35
            82701870              86        10.09        15.23          867.74         1309.78
            53904146              33        29.37        35.22          969.21         1162.26
            77465093              70        16.94        22.83         1185.80         1598.10
            35071419              50        18.92        22.88          946.00         1144.00
            34307586              41        18.20        24.14          746.20          989.74
            62963680              36        17.16        22.50          617.76          810.00
            37948824              62        25.06        28.67         1553.72         1777.54
            82011078              13        18.39        23.28          239.07          302.64
            81252880              16        14.36        18.04          229.76          288.64
            79065482              77        15.63        21.13         1203.51         1627.01
            46182485              57        11.19        15.73          637.83          896.61
            13258730              62        19.61        24.99         1215.82         1549.38
            13174473              91        29.75        35.68         2707.25         3246.88
            87553231              70        23.79        28.20         1665.30         1974.00
            60683021               2        18.36        23.75           36.72           47.50
            59142280              97        20.84        25.19         2021.48         2443.43
            17559533              50        24.91        30.57         1245.50         1528.50
            58782510              80        21.90        25.49         1752.00         2039.20
            55263273              42        18.62        22.22          782.04          933.24
            75799058              31        25.89        30.75          802.59          953.25
            71912539               9        13.96        19.25          125.64          173.25
            17103483              86        24.10        27.36         2072.60         2352.96
            55000517              95        11.84        15.36         1124.80         1459.20
            61677125              39        27.05        32.57         1054.95         1270.23
            85941566              18        21.95        27.00          395.10          486.00
            60384491              55        28.17        32.53         1549.35         1789.15
            38334221               7        26.57        32.06          185.99          224.42
            21291543              84        21.88        27.76         1837.92         2331.84
            15388347              59        27.85        32.62         1643.15         1924.58
            56886748              18        24.94        30.92          448.92          556.56
            50295179              88        23.09        28.10         2031.92         2472.80
            76502369               7        12.35        16.47           86.45          115.29
            75647204              28        19.39        24.87          542.92          696.36
            27240862              43        28.12        31.28         1209.16         1345.04
            65537294              64        21.96        27.57         1405.44         1764.48
            83234292              26        23.80        29.24          618.80          760.24
            16224831              41        11.63        16.47          476.83          675.27
            78122228              85        13.73        18.55         1167.05         1576.75
            56884152               4        15.70        21.26           62.80           85.04
            88304184              84        18.55        23.14         1558.20         1943.76
            77189549              21        21.15        24.64          444.15          517.44
            48583427              80        15.99        20.68         1279.20         1654.40
            40278707              84        20.15        24.30         1692.60         2041.20
            71529535              21        27.36        31.04          574.56          651.84
            21323997              81        12.74        16.19         1031.94         1311.39
            57739204               1        23.02        27.52           23.02           27.52
            60716308              47        20.86        26.78          980.42         1258.66
            12968942              80        18.72        22.47         1497.60         1797.60
            79170842              16        29.59        34.75          473.44          556.00
            43151607              65        13.59        19.16          883.35         1245.40
            27470967              10        16.17        20.36          161.70          203.60
            71351528              91        18.02        21.76         1639.82         1980.16
            42770709              50        12.19        15.44          609.50          772.00
            37303335              98        14.00        19.04         1372.00         1865.92
            72771191               3        17.78        23.31           53.34           69.93
            74375297              31        12.28        18.21          380.68          564.51
            67515582              61        17.43        20.59         1063.23         1255.99
            70692724               6        19.41        22.88          116.46          137.28
            55263273              42        18.62        22.22          782.04          933.24
            38561693              47        18.00        22.00          846.00         1034.00
            15388347              59        27.85        32.62         1643.15         1924.58
            32913509              42        11.94        16.43          501.48          690.06
            75647204              28        19.39        24.87          542.92          696.36
            44928407              38        14.42        20.03          547.96          761.14
            26782989              32        17.16        20.93          549.12          669.76
            75541722              78        22.80        25.97         1778.40         2025.66
            80924508              94        23.82        28.14         2239.08         2645.16
            71733835              17        22.36        25.67          380.12          436.39
            35631998              79        25.89        29.56         2045.31         2335.24
            63689991              40        26.49        31.87         1059.60         1274.80
            14366464              32        10.12        15.81          323.84          505.92
            17327188              41        23.79        28.18          975.39         1155.38
            27972823              12        28.73        32.17          344.76          386.04
            52700852              67        28.70        31.79         1922.90         2129.93
            60360685              42        28.86        33.14         1212.12         1391.88
            27240862              43        28.12        31.28         1209.16         1345.04
            60027243              72        19.48        24.93         1402.56         1794.96
            78122228              85        13.73        18.55         1167.05         1576.75
            43715790              31        27.98        31.68          867.38          982.08
            48583427              80        15.99        20.68         1279.20         1654.40
            27640169              59        10.52        15.35          620.68          905.65
            22877827               6        16.46        21.19           98.76          127.14
            31917171              58        23.27        27.29         1349.66         1582.82
            43771833              50        18.24        21.52          912.00         1076.00
            31396612              63        15.52        21.11          977.76         1329.93
            85466608              62        12.70        16.12          787.40          999.44
            20766559              15        17.28        21.88          259.20          328.20
            85699185              26        13.43        19.23          349.18          499.98
            64463514               1        15.90        19.22           15.90           19.22
            40278707              84        20.15        24.30         1692.60         2041.20
